endpoint_id,http_method,path,feature_area,test_class,test_method,suite_profiles,branding_support,legacy_source,migration_status,validation_layers,module_regression,smoke_suite,notes
mobile2,M2-02,GET,/mobile2api/v1/mobiletransactionhistory/{ext},Transactions,MobileTransactionHistoryRequestTest,getMobileTransactionHistory_returnsTransactions,transactionhistory-*,"okdirect,newyork",Legacy transaction history,migrated-simplified,L1-L4,Y,N,
mobile2,M2-03,GET,/mobile2api/v1/investments/{ext},Investment,MobileInvestmentRequestTest,getMobileInvestments_returnsInvestments,investment-*,"okdirect,newyork",Legacy investments,migrated-simplified,L1-L4,Y,N,
mobile2,M2-04,GET,/mobile2api/v1/mobilebanks,Banks,MobileBanksRequestTest,getMobileBanks_filterDomesticBanks_returnsBanks,banks-*,okdirect,Postman MSC banks list,migrated,L1-L4,Y,N,OKD only
mobile2,M2-05,GET,/mobile2api/v1/mobilebanks/{id},Banks,MobileBanksRequestTest,getMobileBankById_returnsBank,banks-*,okdirect,QA-1386,migrated,L1-L4,Y,N,
mobile2,M2-06,POST,/mobile2api/v1/mobilebanks,Banks,MobileBanksRequestTest,postMobileBanks_addsDomesticBank_returnsBanks,banks-*,okdirect,Domestic bank add,migrated,L1-L4,Y,N,
mobile2,M2-07,PUT,/mobile2api/v1/mobilebanks,Banks,MobileBanksRequestTest,putMobileBanks_updatesDomesticBank_returnsBanks,mobile2-smoke,okdirect,Destructive update,migrated,L1-L4,N,Y,Excluded from master
mobile2,M2-08,DELETE,/mobile2api/v1/mobilebanks,Banks,MobileBanksRequestTest,deleteMobileBanks_deletesDomesticBank_returnsBanks,mobile2-smoke,okdirect,Destructive delete,migrated,L1-L4,N,Y,Excluded from master
mobile2,M2-09,GET,/mobile2api/v1/content,Content,MobileContentRequestTest,getContent_commonSavingTips_returnsContent,content-*,"okdirect,newyork",CMS content gateway,migrated-simplified,L1-L4,Y,N,
mobile2,M2-10,GET,/mobile2api/v1/plans,Plans,MobilePlansRequestTest,getMobilePlans_returnsPlans,plans-*,"okdirect,newyork",Plan list,migrated,L1-L4,Y,N,
mobile2,M2-11,GET,/mobile2api/v1/plans/{id},Plans,MobilePlansRequestTest,getMobilePlanById_returnsPlan,plans-*,"okdirect,newyork",Plan by branding id,migrated,L1-L4,Y,N,
mobile2,M2-12,GET,/mobile2api/v1/mobilecontribution,Contribution,MobileContributionRequestTest,getMobileContribution_returnsContributionOptions,contribution-*,"okdirect,newyork",Contribution options,migrated,L1-L4,Y,N,
mobile2,M2-13,GET,/mobile2api/v1/mobilecontributioncheck,Contribution,MobileContributionCheckRequestTest,getMobileContributionCheck_returnsShowContributionFlag,contribution-*,"okdirect,newyork",Show contribution flag,migrated,L1-L4,Y,N,
mobile2,M2-14,GET,/mobile2api/v1/mobilecontribution/{ext}/{id},Contribution,MobileContributionDetailRequestTest,getMobileContributionById_returnsRecurringContribution,contribution-*,"okdirect,newyork",Dynamic SQL fixture id 472560,migrated,L1-L4,Y,N,Stage1 fixture caveat
mobile2,M2-15,POST,/mobile2api/v1/mobilecontribution,Contribution,MobileContributionPostRequestTest,postMobileContribution_createsRecurringContribution,contribution-*,"okdirect,newyork",Create recurring contribution,migrated,L1-L4,Y,N,
mobile2,M2-16,PUT,/mobile2api/v1/mobilecontribution/{ext}/{id},Contribution,MobileContributionPutRequestTest,putMobileContributionById_updatesRecurringContribution,contribution-*,"okdirect,newyork",Update recurring,migrated,L1-L4,Y,N,
mobile2,M2-17,DELETE,/mobile2api/v1/mobilecontribution/{ext}/{id},Contribution,MobileContributionDeleteRequestTest,deleteMobileContributionById_removesAutomationOwnedContribution,contribution-regression,okdirect,Automation-owned DELETE,migrated,L1-L4,N,N,OKD module only; not master
mobile2,M2-18,GET,/mobile2api/v1/mobiledashboard,Dashboard,MobileDashboardRequestTest,getMobileDashboard,dashboard-*,"okdirect,newyork",First vertical slice; 8-test→1 lean,migrated-simplified,L1-L4 lean,Y,N,Reference case study
mobile2,M2-19,GET,/mobile2api/v1/mobileytdsummary/{ext},Dashboard,MobileYtdSummaryRequestTest,getMobileYtdSummary_returnsYtdContributionSummary,"dashboard-*,mobile2-smoke","okdirect,newyork",YTD contribution summary,migrated,L1-L4,Y,Y,Master + smoke
mobile2,M2-20,GET,/mobile2api/v1/mobilemembers/{planId}/{username},Harness,MobileMembersRequestTest,getMobileMembers_returnsMemberForHarness,mobile2-smoke,okdirect,Acceptance harness — 401 with member JWT by design,excluded,L1 only,N,Y,Out of business numerator
mobile2,M2-21,GET,/mobile2api/v1/mobilebalancetrend/{ext},Balance,MobileBalanceTrendRequestTest,getMobileBalanceTrend_returnsBalanceTrend,balancetrend-*,"okdirect,newyork",Balance trend chart data,migrated-simplified,L1-L4,Y,N,
mobile2,M2-22,GET,/mobile2api/v1/mobileperformance/{ext},Performance,MobilePerformanceRequestTest,getMobilePerformance_returnsPerformance,balancetrend-*,"okdirect,newyork",Performance metrics,migrated-simplified,L1-L4,Y,N,
mobile2,M2-23,GET,/mobile2api/v1/mobilestackup/{planId},Stackup,MobileStackupRequestTest,getMobileStackup_returnsStackup,"balancetrend-*,mobile2-smoke","okdirect,newyork,nmdirect",Strict stackup in smoke (NMD),migrated-simplified,L1-L4,Y,Y,Duplicate class in 2 packages
mobile2,M2-24,GET,/mobile2api/v1/mobileugift,UGift,MobileUgiftRequestTest,getMobileUgift_returnsUgiftPage,ugift-*,"okdirect,newyork",UGift page GET,migrated,L1-L4,Y,N,
mobile2,M2-25,PATCH,/mobile2api/v1/mobileugift/{ext},UGift,MobileUgiftRequestTest,patchMobileUgift_assignsUgiftId,ugift-*,"okdirect,newyork",Idempotent ugift assign,migrated,L1-L4,Y,N,
