business_area,sub_area,metric_label,numerator,denominator,counting_unit,percent_class,implementation_status,execution_status,scheduled_status,leadership_safe_wording,confidence,evidence_path,as_of_date,notes
Universal Platform,Universal API (scoped),Unique HTTP operations,11,TBD,API operations,Verified count — partial scheduling,11 ops mapped in UP ledger,Metadataweb scheduled only,scheduled_metadataweb_stage1,"API automation exists beyond metadata; only metadataweb on GitLab schedule today",High,api-operation-mapping.csv,2026-07-01,
Universal Platform,Performance journeys,In-scope JMeter journeys,15,TBD,business journeys,Verified count,IDP perf scheduled; others manual,AGSUP_IDP_REGRESSION_SUITE weekdays,Partial scheduled,"Performance assets exist; not all journeys on recurring schedule",Medium,performance-journey-mapping.csv,2026-07-01,
Universal Platform,Nightly inventory share (technical),Scoped TestNG methods,379,436,TestNG methods,Verified inventory share only,Implementation in repo,Active GitLab nightly,scheduled_regression_job,"Technical appendix only — inventory share not functional completeness",High,10-reconciliation-ledger.md,2026-07-01,NOT leadership headline metric
Legacy Unite,High-priority member portal,Daily nightly modules,10,10,active daily suite modules,Verified from repository + historical docs,Majority of high-priority journeys automated,Jenkins nightly referenced — live run not re-verified,STAGE1-Daily-Unite-Prime-Regression (docs),"Substantial automation for core member journeys; recurring Jenkins regression referenced in platform docs",Medium,AM_Regression_Reports/docs/v2/00-v2-regression-overview.md,2026-07-21,~95% core flows claim is historical doc estimate — not verified denominator
Legacy Unite,High-priority member portal,Daily test methods (approx),454,TBD,TestNG/Cucumber methods,Historical estimate,10 modules with automation,Referenced nightly,See Jenkins docs,"Enrollment contributions withdrawals balance login registration UGift investment options covered in daily modules",Medium,v2/00-v2-regression-overview.md,2026-07-21,
Legacy Unite,Full V2 repository,Feature files,1538,TBD,Cucumber feature files,Verified from repository code,Extensive code assets,Execution varies by suite,Not on GitLab V3 schedule,"Extensive existing automation requiring revalidation and governed suite activation",High,unite-test-automation feature scan,2026-07-21,
Legacy Unite,UP-scoped qTest inventory (technical),Executed qTest cases,268,744,qTest cases,Verified inventory share only — stale,Mapped cases exist,Stale export 2026-06-29,Jenkins/Ant legacy,"Technical appendix only — not functional completeness",High,10-reconciliation-ledger.md,2026-06-29,NOT leadership headline metric
Legacy Unite,CSR / management / green screens,CSR maintenance + greenscreen features,TBD,TBD,feature scenarios,Program estimate requiring reconciliation,Automation assets exist,Not in 10 daily modules,Manual / deferred suites,"Automation assets exist but require revalidation synchronization and inclusion in governed nightly suite",Medium,unite/testsuite/csr/,2026-07-21,
Back-office / Batch,Backoffice subtree,Feature files,1062,TBD,Cucumber features,Verified from repository code,Substantial implementation,Weekly backoffice referenced Tue/Wed,Not on V3 GitLab nightly,"Back-office automation implemented; recurring inclusion requires revalidation and schedule confirmation",Medium,unite/testsuite/backoffice/,2026-07-21,Kofax/feed flows in backoffice tree
ASTRO / SFRP,ASTRO UI,Feature files,391,TBD,Cucumber features,Verified from repository code,Substantial asset base,No verified recurring execution,ASTRO-TB-REFRESH prep only,"ASTRO has substantial existing automation assets; recurring execution inactive — suites require revalidation before active regression coverage",High,astro-test-automation feature scan,2026-07-21,1236 scenario count from prior scan — use features as stable unit
ASTRO / SFRP,ASTRO API,Test classes,5,TBD,API test classes,Verified implementation estimate,Small API module,No schedule,None,"API automation footprint small; scope vs GS priority TBD",Low,api-test-automation/astro/,2026-07-21,
COPACS,Platform scope,Automation identified,0,TBD,N/A,Unknown,No validated automation in reviewed repos,None,None,"Scope and ownership require business discovery",Low,leadership-decision-log D-10,2026-07-21,
Performance,IDP,Scheduled perf suite,1,1,perf regression job,Verified from KB evidence,Scripts exist,Referenced weekdays ~3 AM,AGSUP_IDP_REGRESSION_SUITE,"IDP performance regression on schedule; functional gate separate",Medium,perf tracker 2026-07-02,2026-07-02,
Performance,MSC Mobile,Perf scripts,3,TBD,JMX/YAML pairs,Verified manually executable,Scripts exist,Manual only,AGSUP_UNITE_MSC_ENDURANCE manual,"MSC performance scripts exist; no periodic trigger confirmed",Medium,performance/mobile/unite-msc/,2026-07-02,
Reporting / Governance,qTest manual inventory,Executed cases (V2 export),744,TBD,qTest cases,Stale execution evidence,Inventory exists,2026-06-29 snapshot,No live API,"qTest data stale; row-level IDs not exported",High,v2-qtest-jenkins export,2026-06-29,
Reporting / Governance,Coverage register,Platform metrics with status labels,11,11,register rows,Verified,Register maintained,Partial live collectors,Partial,"Automated harmonized register feasible; APIs blocked",High,verified-metrics-register.csv,2026-07-21,
