gs_domain,application,automation_type,business_capability,repository,suite_or_profile,test_count_or_scope,denominator,automated_numerator,verified_pct,execution_model,gitlab,github_actions,jenkins,ci_gate_status,idp_support,environments,evidence_path,confidence,status,gap_notes
Universal Platform,JSON API (account auth financial risk),API TestNG,UP microservice APIs,api-test-automation,Per-module testng.xml,38 test classes universal/,TBD per service inventory,TBD,TBD,Verified manually executable,No,No,No,No,TBD,QC4 Stage1 Stage5,api-test-automation/universal/,Medium,Verified manually executable,Not all modules on GitLab schedule
Universal Platform,UP API operations,API RestAssured,Enrollment IDP Withdrawal ops,api-test-automation,universal modules,11 unique HTTP operations per UP ledger,TBD full service catalog,11,TBD,Verified manually executable,Partial (metadataweb only scheduled),No,No,No,TBD,Stage1,universal-platform-coverage/01-analysis/csv/api-operation-mapping.csv,High,Verified manually executable,Denominator for full GS API surface not reconciled
ASTRO,ASTRO API,API TestNG,jsonapi-astro,api-test-automation,astro module,5 test classes,TBD,TBD,TBD,Verified manually executable,No,No,No,No,TBD,TBD,api-test-automation/astro/,Low,Verified manually executable,Scope vs GS priority TBD
Performance,Universal Platform,Performance JMeter Taurus,Enrollment IDP journeys,performance-test-automation,universal-platform/**/*.jmx,15 in-scope journeys per UP ledger,36 JMX / 53 Taurus total assets,15,TBD journey-level,Verified manually executable,No,No,AGSUP_IDP_REGRESSION_SUITE (scheduled weekdays),Soft/informational perf,Both,QC4 Stage1,mobile2-api-db-validation/docs/01-shared/unite-msc-performance-testing-tracker.md,Medium,Verified recurring regression (IDP perf only),UP enrollment perf journeys not all scheduled
Performance,Unite MSC,Performance JMeter Taurus,MSC login core GET endpoints,performance-test-automation,mobile/unite-msc/jmeter,6 JMX + YAML pairs,TBD MSC journey catalog,3+ verified scripts,TBD,Verified manually executable,No,No,AGSUP_UNITE_MSC_ENDURANCE (manual),Manual only,Non-IDP verified; IDP in progress,QC4 Stage1,performance/mobile/unite-msc/,Medium,Verified manually executable — not scheduled,No periodic MSC perf trigger confirmed 2026-07-02
Performance,Unite legacy,Performance JMeter,Legacy login,performance-test-automation,unite/legacy-login,1 JMX,TBD,1,TBD,Verified manually executable,No,No,No,Manual,TBD,TBD,performance/unite/legacy-login/,Low,Verified manually executable,Adjacent to MSC
Unite MSC,Microservice BDD,Service Cucumber JUnit,Per-microservice acceptance,UniteMSC 14 repos,features/*.feature,112+ Cucumber features aggregate,TBD BFF acceptance scope,N/A,N/A,Service CI via GitLab templates,Per-repo pipeline,No,No,Build/test gate on service deploy,Both,Dev/test,unite-mobile2/src/test/resources/features/,Medium,Verified deployment validation,Not substitute for api-test-automation BFF tests
Mobile MSC,Account owner app,Angular Karma,Micro1 mobile app unit,unite-accountowner,*.spec.ts,120 spec files,TBD,TBD,120,TBD,CI on branch push,accountowner_build_tdd,No,No,Build gate not full GS regression,N/A,N/A,UniteMSC/unite-accountowner/,Medium,Verified deployment validation,Frontend unit tests not E2E GS coverage
COPACS,Platform,TBD,TBD,Not identified in reviewed repos,TBD,TBD,TBD,TBD,TBD,No validated automation identified,No,No,No,None,TBD,TBD,N/A,Low,No validated automation identified,Requires scope confirmation from business owners
Government Savings,Application code coverage,JaCoCo Sonar,Service unit coverage,UniteMSC microservice repos,POM jacoco config,Service unit tests,TBD,TBD,N/A,N/A,Service pipeline,GitLab shared templates,No,No,Sonar disabled RUN_SONARQUBE false,NA,NA,unite-mobile1/pom.xml,Medium,Not a QA regression gate,Distinct from business test automation coverage metric
