Summary,IssueType,Description,Priority,Reporter,Assignee,Labels,Story Points
[Docs] Confluence V2 V3 smoke suites schedules ownership how to run,Story,Single doc page. Confluence pageId 315559619 referenced in jira-export.csv as hub pattern.,Medium,Swapnil Patil,Swapnil Patil,"automation,v2,v3,pipeline,documentation,qa-board-view",
[V3][Member] Withdrawal flow automation post-IDP,Story,V3 member withdrawal. KB: backlog stories.md QA-S-V3-005 jira-export stage1-withdrawals module mention. Suite XML: Needs Validation.,Medium,Swapnil Patil,Dinesh Kumar,"automation,v3,member,withdrawal,idp,gitlab,regression,qa-board-view",
[V3][Member] Remaining transactions transfers exchanges confirm gaps,Story,V3 member transfers exchanges. KB QA-S-V3-006 QA-S-V3-007 stories.md. Confirm existing coverage in prime-test-automation before coding: Needs Validation.,Medium,Swapnil Patil,Dinesh Kumar,"automation,v3,member,exchange,idp,gitlab,qa-board-view",
[V3] Port IDP login cases Universal Enrollment to Unite V3,Story,Move IDP login coverage. KB: jira-export IDPLogin.feature UniversalEnrollment UEPIPE unite-universal-enrollment. Target Unite V3 paths: Needs Validation.,Medium,Swapnil Patil,Dinesh Kumar,"automation,v3,idp,enrollment,gitlab,regression,qa-board-view",
[V3][Pipeline] Environment pipeline project align automation gates,Story,ENVP pipeline work. KB Env-Pipeline_project README jira-export scheduled_regression_job mention Needs Validation exact job key.,Medium,Swapnil Patil,Dinesh Kumar,"automation,v3,pipeline,gitlab,qa-board-view",
[V3][NTP] Baseline automation suite nightly regression entry,Story,NTP NT Management Platform V3 baseline. No NTP paths in qa-automation-kb: Needs Validation entire scope module URLs.,Medium,Swapnil Patil,Dinesh Kumar,"automation,v3,gitlab,regression,qa-board-view",
[Perf] Forgot Username and Forgot Password in performance framework,Story,Perf auth flows. KB backlog QA-S-PERF-002 003 family stories.md Jenkins. JMX paths: Needs Validation.,Medium,Swapnil Patil,Priti Choudhary,"perf,jenkins,member,idp,qa-board-view",
[Perf] Nightly regression perf package IDP forgot change password Jenkins,Story,Nightly perf package. KB QA-S-PERF-001 QA-461 Jenkins nightly precedent jira-export.csv.,Medium,Swapnil Patil,Priti Choudhary,"perf,jenkins,idp,member,qa-board-view",
[Perf] Change password member profile dynamic header handler validation,Story,Dynamic header handler for change password perf. Business context jira-export change password profile security. Script location: Needs Validation.,Medium,Swapnil Patil,Priti Choudhary,"perf,jenkins,member,idp,qa-board-view",
[Perf] Enrollment flow performance UI or API approach TBD,Story,Enrollment perf. KB no perf repo in governance. Choose UI API or both after inventory: Needs Validation.,Medium,Swapnil Patil,Priti Choudhary,"perf,jenkins,enrollment,v3,qa-board-view",
