Issue Type,Summary,Description,Acceptance Criteria,Priority,Labels,Component,Story Points,Epic Link
Task,Apply migration decision matrix to Enrollment scenarios,"Decision per scenario: migrate/update/consolidate/parameterize/exclude/park.","100% decisions recorded; exclusions approved.",High,"mobile-automation, unite-msc",unite-enrollment,3,MOB-AUTO-E2
Story,Implement unite-enrollment module scaffold in API Automation Framework,"Create mobile-automation/unite-enrollment/ wired to jsonapi-parent.","Module compiles; tags documented; PR merged.",Highest,"mobile-automation, unite-msc, cucumber, api-automation",unite-enrollment,5,MOB-AUTO-E2
Story,Migrate Enrollment vertical slice (3-5 scenarios),"Migrate high-value scenarios; prove QC4 execution.",">=3 scenarios pass QC4; no app-repo dependencies; M3 milestone.",Highest,"mobile-automation, unite-msc, cucumber, rest-assured",unite-enrollment,8,MOB-AUTO-E2
Story,Externalize heavy Enrollment test data from feature files,"Move payloads to test-data/; environment-neutral logical names.","No large inline payloads in slice features; QC4/Stage1 config works.",High,"mobile-automation, unite-msc, api-automation",unite-enrollment,5,MOB-AUTO-E2
Story,Build Unite Enrollment smoke suite,"Tag critical scenarios @smoke; validate Maven filter on QC4.","Smoke runs via Maven on QC4; runtime documented; M4 milestone.",High,"mobile-automation, unite-msc, cucumber, regression",unite-enrollment,5,MOB-AUTO-E2
Story,Build Unite Enrollment regression suite,"Migrate remaining approved scenarios; tag @regression; complete exclusions log.","Regression runs QC4; exclusions 100% complete; M5 milestone.",High,"mobile-automation, unite-msc, cucumber, regression",unite-enrollment,8,MOB-AUTO-E2
Story,Stabilize Enrollment automation in QC4 and Stage1,"Fix env-specific failures; Stage1 smoke proof.","Smoke stable QC4; Stage1 smoke pass or gaps in RAID.",High,"mobile-automation, unite-msc, regression",unite-enrollment,5,MOB-AUTO-E2
Story,Discover legacy Unite Mobile 1 automation assets,"Inventory Mobile1 assets; flag encryption-related steps.","Mobile1 tracker inventory complete; encryption assets tagged.",High,"mobile-automation, unite-msc, cucumber, api-automation",unite-mobile1,5,MOB-AUTO-E3
Story,"Map Mobile 1 features, endpoints, payloads, SQL, and configs","Feature-step map; endpoint catalog; decision matrix applied.","Maps complete; >=2 vertical-slice candidates identified.",High,"mobile-automation, unite-msc, rest-assured",unite-mobile1,5,MOB-AUTO-E3
Story,Implement unite-mobile1 module scaffold,"Create mobile-automation/unite-mobile1/ mirroring enrollment pattern.","Module compiles; encryption reuse path documented.",High,"mobile-automation, unite-msc, cucumber",unite-mobile1,3,MOB-AUTO-E3
Story,Migrate Mobile 1 vertical slice with encryption handling,"Migrate 3-5 scenarios including >=1 encryption flow; QC4 proof.",">=3 QC4 passes; encryption pass or approved exclude; M3 milestone.",High,"mobile-automation, unite-msc, cucumber, rest-assured",unite-mobile1,8,MOB-AUTO-E3
Story,Externalize Mobile 1 test data and build smoke suite,"Externalize data; tag @smoke; validate Maven on QC4.","Smoke runs QC4; M4 milestone.",Medium,"mobile-automation, unite-msc, cucumber, regression",unite-mobile1,5,MOB-AUTO-E3
Story,Build Mobile 1 regression suite and stabilize QC4/Stage1,"Full regression migration; Stage1 stabilization.","Regression QC4; Stage1 smoke; M5 milestone.",High,"mobile-automation, unite-msc, cucumber, regression",unite-mobile1,8,MOB-AUTO-E3
Story,Discover legacy Unite Mobile 2 automation assets,"Inventory features and *IT.java suites; OpenAPI baseline.","Mobile2 tracker complete; cross-service deps listed.",High,"mobile-automation, unite-msc, cucumber, api-automation",unite-mobile2,5,MOB-AUTO-E4
Story,Map Mobile 2 features endpoints and critical-path coverage,"Map to OpenAPI; define smoke-critical paths; decision matrix.","Critical-path list signed off; IdP requirements documented.",High,"mobile-automation, unite-msc, rest-assured, api-automation",unite-mobile2,8,MOB-AUTO-E4
Story,Implement unite-mobile2 module scaffold,"Create mobile-automation/unite-mobile2/ module.","Module compiles; Path B relationship noted if applicable.",High,"mobile-automation, unite-msc, cucumber",unite-mobile2,3,MOB-AUTO-E4
Story,Migrate Mobile 2 vertical slice (smoke-critical paths),"Health, login, dashboard on QC4 with unique test data keys.","Smoke-critical paths pass QC4; M3 milestone.",Highest,"mobile-automation, unite-msc, cucumber, rest-assured",unite-mobile2,8,MOB-AUTO-E4
Story,Integrate Mobile 2 smoke with DevOps pipeline (pilot),"PR pipeline runs @uniteMobile2 @smoke on QC4.","Successful PR pipeline run; secrets not in properties.",Highest,"mobile-automation, unite-msc, regression, api-automation",unite-mobile2,8,MOB-AUTO-E4
Story,Build Mobile 2 full regression suite and Stage1 stabilization,"Full @regression; OpenAPI coverage delta; Stage1.","Regression QC4; Stage1 per policy; M5 milestone.",High,"mobile-automation, unite-msc, cucumber, regression",unite-mobile2,13,MOB-AUTO-E4
Story,Validate and document Maven execution commands per module,"Replace EXAMPLE commands with validated runbook entries.","Enrollment commands VALIDATED; docs updated.",High,"mobile-automation, api-automation, cucumber, regression",Pipeline,5,MOB-AUTO-E5
Story,Integrate QC4 smoke pipeline for pilot module,"PR trigger, QC4 smoke, PR check, merge policy.","PR pipeline green for pilot; policy documented.",Highest,"mobile-automation, unite-msc, regression, api-automation",Pipeline,8,MOB-AUTO-E5
Story,Integrate Stage1 post-deploy verification pipeline,"Stage1 job after deploy with stage1.properties.","Successful Stage1 run; promotion policy documented.",High,"mobile-automation, unite-msc, regression",Pipeline,5,MOB-AUTO-E5
Story,Configure CI reporting and artifact publishing,"HTML/XML artifacts; PR failure visibility.","Reports retained; sample link in runbook.",Medium,"mobile-automation, api-automation, regression",Pipeline,5,MOB-AUTO-E5
Story,Define env-health probe and test quarantine policy,"Pre-check, retry, quarantine, Slack alert for QC4 outages.","Policy approved by DevOps+QA; linked from pipeline page.",High,"mobile-automation, unite-msc, regression",Pipeline,5,MOB-AUTO-E5
Task,Publish Confluence Mobile Automation Program Hub,"Copy program hub markdown to Confluence per README order.","All pages published; UI placeholder created.",Medium,"mobile-automation, unite-msc",Documentation,2,MOB-AUTO-E6
Story,Create automation runbook and troubleshooting guide,"Local setup, Maven, env switch, common failures, pipeline re-run.","Runbook covers 3 modules; >=5 troubleshooting patterns.",Medium,"mobile-automation, api-automation, cucumber",Documentation,5,MOB-AUTO-E6
Task,Create weekly leadership status template and first two reports,"Use weekly status template; publish 2 weeks.","Two weekly updates published; RAID referenced.",Medium,"mobile-automation, unite-msc",Documentation,2,MOB-AUTO-E6
Story,Program sign-off and handoff review,"Review success criteria; document gaps and backlog.","Sign-off complete; status-summary updated; M7 milestone.",Medium,"mobile-automation, unite-msc, regression",Documentation,3,MOB-AUTO-E6
