Issue Type,Summary,Description,Acceptance Criteria,Priority,Labels,Component,Story Points,Epic Link,Assignee
Story,[ENV-CICD] GitHub Actions deployment gate Mobile MSC integration suites,PR gate QC4 integration suites; secrets vault; related QA-615.,PR check pass fail; secrets secure; policy documented,High,"unite-msc, cicd, env-cicd",Pipeline,8,QA-796,Swapnil Patil
Story,[V3] GitLab nightly regression mobile-microservices modules,Nightly smoke regression mobile-microservices; extends QA-333.,Nightly job green; tags documented,High,"unite-msc, v3, regression",Pipeline,5,QA-796,DevOps
Story,[ENV-CICD] Pipeline secrets artifact retention troubleshooting runbook,Secrets artifacts retention troubleshooting handoff.,Runbook published; retention policy; handoff complete,Medium,"unite-msc, cicd",Pipeline,5,QA-796,DevOps
Story,[UNITE-MSC][Reporting] Publish latest Extent report stable URL and history,CI publish mobile-ms-report stable URL history retention.,Artifact published; stable URL; retention policy,High,"unite-msc, reporting",Reporting,5,QA-796,Swapnil Patil
Story,[UNITE-MSC][Docs] SharePoint architecture local setup run commands,SharePoint architecture setup commands.,Pages published Confluence or SharePoint,Medium,"unite-msc, docs",Documentation,3,QA-796,Swapnil Patil
Story,[UNITE-MSC][Docs] Suite catalog integration smoke regression functional,Suite catalog Maven commands per module.,Catalog complete all modules,Medium,"unite-msc, docs",Documentation,3,QA-796,Swapnil Patil
Story,[UNITE-MSC][Docs] Pipeline ops report access onboarding release checklist,Pipeline ops report access onboarding release readiness.,Onboarding and release checklist published,Medium,"unite-msc, docs",Documentation,5,QA-796,Swapnil Patil
Story,[UNITE-MSC] JMeter script audit workload model MSC critical flows,JMeter audit and workload model for MSC perf scope.,Audit complete; workload model approved,Medium,"unite-msc, perf",Performance,5,QA-796,TBD
Story,[UNITE-MSC][Mobile2][Perf Test] Dashboard Activities QC4 baseline,Perf baseline Dashboard Activities QC4.,Baseline run; thresholds documented,Medium,"unite-msc, mobile2, perf",Performance,5,QA-796,TBD
Story,[UNITE-MSC][Mobile2][Perf Test] Content Banks GET QC4 baseline,Perf baseline Content Banks GET QC4.,Baseline run; thresholds documented,Medium,"unite-msc, mobile2, perf",Performance,5,QA-796,TBD
Story,[UNITE-MSC][Enrollment][Perf Test] Enrollment critical flow QC4 baseline,Enrollment critical flow perf baseline QC4.,Baseline run; threshold governance,Medium,"unite-msc, enrollment, perf",Performance,5,QA-796,TBD
Story,[UNITE-MSC][Perf Test] Stage1 baseline scheduled regression report publication,Stage1 perf baselines scheduled runs report publish.,Stage1 scheduled; reports retained,Medium,"unite-msc, perf",Performance,5,QA-796,TBD
Epic,[FUTURE-EPIC] Mobile UI automation Appium BrowserStack strategy,Separate future epic — NOT QA-796 scope.,Epic created when prioritized,Low,"mobile-ui, future",Mobile UI,0,FUTURE,TBD
